你是谁啊？	我是你爸爸
你叫什么名字	杰克
多大了	22
海的女儿是哪个城市的城徽	哥本哈根
阿尔及利亚首都是哪个城市 	阿尔及尔
第一台电子计算机在哪里诞生	美国
第一次登上月球的是哪国人	美国
2008年奥运会将在哪个城市举行	北京
佛教起源于哪个国家	印度
奥斯卡金像奖是哪个国家的奖项	美国	
澳门隶属于哪个国家	中国	
巴塞罗那是哪个国家的城市	西班牙	
巴西曾经是哪个国家的殖民地	葡萄牙	
柏林是哪个国家的	德意志联邦共和国	
被誉为风车之国是哪个国家	荷兰	
布莱尔是哪个国家的首相	英国	
产钨最多的国家是哪个	中国	
长江、黄河是哪个国家的	中国	
车臣是哪个国家的加盟共和国	苏联	
大阪是哪个国家的	日本	
道教发祥地在哪个国家	中国	
第11届亚太经合组织领导人非正式会议在哪个国家举行	曼谷	
第一套奥林匹克邮票是哪个国家发行的	希腊	
世界最高峰是什么	珠穆朗玛峰	
法罗群岛是属于哪个北欧国家的	丹麦	
凡尔登战役是在哪国打的	法国	
非洲英雄马赫迪是哪个国家的	苏丹	
歌剧诞生于哪个国家	意大利	
国际法院设在哪个国家	荷兰	
海岸线最长的国家是哪个	印度尼西亚	
汉城是哪个国家的首都	韩国	
金字塔位于哪个国家	埃及	
凯撒大帝统治着哪个国家	罗马	
五岳中南岳指哪一座	衡山	
白暨豚生长在哪条海洋里	长江	
世界上落差最大的瀑布是	安赫尔	
向日葵州是指哪个州	堪萨斯城	
我国的茂兰自然保护区处在哪个省	贵州	
埃菲尔铁塔在哪	法国巴黎	
巴士底狱在哪	法国巴黎	
玻利维亚在哪	南美洲	
项羽是在哪条江边自刎的	乌江	
中国的母亲河指哪条河	黄河	
北京邮电大学的占地面积有多大	693亩	
北京大学占地多少平方米	2318722平方米	
比尔盖茨的房子有多少平方英尺	11500平方英尺	
地球表面积是多少	51010万平方公里	
地球上海洋面积有多大	362000000平方公里	
加拿大的国土面积是多少	9984670平方公里	
全球表面积有多少	51000万平方公里	
撒哈拉沙漠的面积多大	9065000平方公里	
撒哈拉有多少平方公里	9065000平方公里	
委内瑞拉的面积是多大	916700平方公里	
爱国华侨陈嘉庚出资兴建的大学是哪一所	厦门大学	
电影界百花奖的主办单位是什么	中国电影家协会	
哪家银行的简称是HSBC	汇丰银行	
胡锦涛曾经上过哪所大学	清华大学	
BMW是哪个汽车公司制造的	宝马汽车公司	
长城信用卡是哪家银行发行的	中国银行	
美国历史上第一所高等学府是哪个学校	哈佛大学	
美国历史最悠久的大学是什么大学	哈佛大学	
顾秉林是哪个大学的校长	清华大学	
顾秉林是什么大学的校长	清华大学	
教科文组织的具体名称是什么	联合国教科文组织	
哪个公司的标志是一个“W”在圈里	大众汽车公司	
哪家石油公司负责中国的石油进出口业务	中国石油天然气集团公司	
哪家银行在北京有最多的办事处	花旗银行	
《法律援助条例》是由哪个国家部门颁发实施的	中华全国律师协会	
UNESCO是什么国际组织的简称	联合国教科文组织	
office是由哪个公司开发的	微软公司	
windows是由哪个公司开发的	微软公司	
处理两岸同胞文化交流的是哪个政府机构	海峡交流基金会	
江泽民毕业于哪一所大学	上海交通大学	
哪个机构执行中国货币政策	中国人民银行	
我国哪一银行执行中央银行的职能	中国人民银行	
现任中国总理毕业于哪所大学	北京大学	
香港的立法机构是什么	香港立法会	
比尔盖茨创办了什么公司	微软公司	
英国历史最悠久的大学是哪所	牛津大学	
在中国制定货币政策的是哪个银行	中国人民银行	
朱熔基总理毕业于哪个大学	清华大学电机系	
李克强总理毕业于哪个大学	北京大学法律系	
中国的国家通讯社是哪家	新华社	
HP是哪个公司的简称	惠普公司	
UNESCO是什么国际组织的简称	联合国教科文组织	
WTO是哪个组织的称呼	世界贸易组织	
1988年香港成立的大学叫什么名字	香港科技大学	
F-111是哪个公司的产品	美国通用	
中华人民共和国最高权力机关是什么	全国人大	
中华人民共和国负责外交的单位是什么	中华人民共和国外交部	
中华人民共和国负责国防的单位是什么	中华人民共和国国防部	
哪个部门负责我国与教育相关的工作	中华人民共和国教育部	
哪个部门负责维护社会治安秩序，制止危害社会治安秩序的行为	中华人民共和国公安部	
朝鲜的执政党是什么	朝鲜劳动党	
第三届亚洲政党国际会议是由哪个政党主持的	中国共产党	
夺得世界杯次数最多的足球队	巴西队	
个人如果向银行出售金银物品必须卖给哪个银行	中国人民银行	
利奥内尔·若斯潘是哪个政党的成员	法国社会党	
罗豪才是哪个机构的主席	全国政协	
哪个机构负责全国公安工作	公安部	
中国俗称南船的机构是哪一个	中国船舶重工集团公司	
全球最大的无线运营商是哪个公司	中国移动通信集团公司	
中国的基础电信运营商之一是哪个公司	中国电信	
哪家与航天有关的国企成立成1999年	中国航天	
简称兵装集团的国企是哪家公司	兵器装备集团公司	
中国最大的国家石油公司之一是什么	中国海洋石油总公司	
王宜林是哪家国企老总	中海油	
原中国第一汽车制造厂是哪家国企	中国第一汽车集团公司	
哪家国企简称一汽	中国第一汽车集团公司	
徐建一是哪家国企的董事长	一汽集团	
红旗轿车是哪家汽车公司的	中国第一汽车集团公司	
总部位于湖北省十堰的汽车公司是什么	东风汽车公司	
中国最大的钢铁公司是什么	宝钢集团	
中国最大的房屋建筑承包商是哪家公司	中建总公司	
中国哪家公司承建了泰国拉玛八世皇大桥	中国建筑工程总公司	
比尔盖茨从哪个大学辍学	哈佛大学	
比尔盖茨创办了哪家公司	微软公司	
哪家公司称为“中国科学院计算所新技术发展公司”	联想集团	
哪家电脑制造商由中科院投资并成立于1984年	联想集团	
柳传志是哪家电脑制造商的董事名誉主席	联想集团	
哪家电脑制造商位居中国国内市场首位	联想集团	
哪家公司的英文名称由“Legend”改为现在的“Lenovo”	联想集团	
杨元庆出任哪家公司的总裁兼首席执行官	联想集团	
全球第二大通讯设备供应商是哪家公司	华为技术有限公司	
在美国纽约出版的著名日报是什么	纽约时报	
新闻大亨默多克毕业于哪所大学	牛津大学	
由英国政府资助但独立运行的媒体是什么	英国广播公司	
简称为GE的跨国公司是什么	通用电气公司	
杰夫·伊梅尔特是哪家公司的现任CEO	通用电气公司	
新加坡的主要华文日报是什么	联合早报	
1848年成立的世界主要通讯社之一是什么	美联社	
美国三大电视网络之一，1995年被迪斯尼公司兼并的是哪家公司	美国广播公司	
朝鲜的国家通讯社是什么	朝鲜中央通讯社	
法国最大的通讯社是什么	法新社	
全球第一家通讯社是什么	法新社	
前身是红色中华通讯社的是什么	新华社	
哪个机构负责公民申领居民身份证	公安局	
哪个机构负责社会工作者职业水平证书登记	民政部	
中华人民共和国海事局的简称是什么	中国海事局	
杨传堂是哪个部委领导	交通部	
李家祥是哪个部委的副部长	交通部	
中国最高国家权力机关的执行机关是什么	中华人民共和国国务院	
中国最高国家行政机关是什么	中华人民共和国国务院	
中国哪个机构负责领导全国武装力量	中华人民共和国中央军事委员会	
中国的最高审判机关是什么	最高人民法院	
中国的最高检察机关是什么	最高人民检察院	
1958年2月11日水利部与电力工业部合并为什么部门	中华人民共和国水利部	
前身中央人民政府体育运动委员会的现在是什么部门	国家体育总局	
我国主管税收工作的正部级直属机构是什么部门	国家税务总局	
市场监督管理和有关行政执法工作的直属机构是什么	工商总局	
中国科学技术方面的最高学术机构是什么	中国科学院	
被火烧死的革命战士是谁	邱少云	
请问初唐四杰是哪四位	王勃	
中国第一枚奥运会游泳金牌获得者是谁?	庄泳	
谁领导中国人民创立了新中国	毛泽东	
我国古代历法十二气历是谁提出的 	沈括	
中国共产党的创始人李大钊是被什么人杀害的	张作霖	
谁发现的万有引力定理	牛顿	
《白雪公主》的作者是谁	格林兄弟	
《黄河大合唱》的作曲者是谁	冼星海	
《儒林外史》的作者是谁 	吴敬梓	
《宿命》是谁的作品	东野	
三国演义中蜀国的五虎大将里被称为常胜将军的是谁	赵子龙	
抗美援朝中国人民志愿军司令员是谁	彭德怀	
羽毛球界被称为超级丹的运动员是谁	林丹	
世界名画《和平鸽》的创作者是谁	毕加索	
被称为书圣的古代书法家是哪个	王羲之	
清朝太后身边最著名的贴身太监叫什么	李莲英	
是谁发明的地震仪	张衡	
是谁发明的印刷术	毕升	
谁写了著名的诗篇《将进酒》	李白	
谁是中国第一任的外交部长	周恩来	
谁在香港电影《花样年华》中饰演男主角	梁朝伟	
宋朝的开国皇帝是谁	赵匡胤	
唐朝的第一个皇帝是谁	李渊	
卧龙先生是谁	诸葛亮	
射雕英雄传的作者是谁	金庸	
已使用有小哥一称，与周杰伦共同演唱千里之外的男歌手是谁 	费玉清	
纸是谁发明的	蔡伦	
中国参加奥运会次数最多的运动员是谁	王义夫	
作家老舍的原名叫什么	舒庆春	
谁粉碎了四人帮	华国锋	
徐克电影笑傲江湖东方不败的东方不败由哪位女演员扮演的 	林青霞	
中国空军第一任总司令是谁	叶挺	
中华人民共和国是哪位民主人士提出的	张奚若	
《二泉映月》的作者原名是什么 	华彦均	
自由落体定律由谁发现	伽利略	
最早发现x射线的科学家是谁	伦琴	
微软亚洲研究院的院长是谁	洪小文	
中国共产党这个名称是谁最早提出的	蔡和森	
我国军史上第一位女将军是谁	李贞	
现代奥林匹克运动创始人是谁	顾拜旦	
文学名著《西游记》是谁的作品	吴承恩	
星际航行理论的开创者是哪位科学家	钱学森	
中国古代哪一位曾被称为“药王”	孙思邈	
谁是微软的首席执行官	鲍尔默	
谁死后布了七十二疑冢	曹操	
曾饰演许文强，小马哥，赌神，等经典角色的香港男影星是谁 	周润发	
谁发明了蒸汽机	瓦特	
中国古代名医华佗为谁所杀	曹操	
谁提出了改革开放	邓小平	
APDPlat的发起人是谁？	杨尚川	
被称为画圣的古代画家是哪一位	吴道子	
被称为酿酒行业的祖师是谁	孔子	
被今人誉为开眼看世界第一人是谁	林则徐	
被列为世界十大文豪之一的中国文学家是哪位	鲁迅	
被誉为“钢琴之王”的作曲家是谁	李斯特	
被誉为乐圣音乐家的是谁	贝多芬	
被誉为中国摇滚的第一人是谁	崔健	
跟周杰伦传出绯闻，被称为双J恋的女歌手是谁 	蔡依林	
“冲冠一怒为红颜“中的红颜是指谁	陈圆圆	
草圣指哪位书法家	张旭	
查尔斯的第二任妻子是谁	卡米拉	
英国王储查尔斯的妻子是谁	卡米拉	
查尔斯的妻子是谁	卡米拉	
长篇小说《林海雪原》的作者是谁	曲波	
1994年谁是土库曼斯坦的总统	尼亚佐夫	
《星尘》这首歌是谁写的	马修	
《孙子》的作者别名是什么	孙武	
“宝带桥”是谁建造的	王仲舒	
2008年北京奥运会开幕式和闭幕式的总导演是谁	张艺谋	
谁是第一个中国国家总理	周恩来	
《西厢记》的作者是谁	王实甫	
《西厢记》是谁的作品	王实甫	
《幸运52》的主持人是谁	李咏	
称为“数学之神”的科学家是谁	阿基米德	
“初出茅庐”中茅庐的本意指谁的住处	诸葛亮	
金庸原名是什么	查良镛	
第一个获得国际权威的杰西·欧文斯奖的中国人是谁	王军霞	
电视剧《新白娘子传奇》的主演叶童原名是什么	李思思	
电影《英雄》的编剧是谁	王斌	
谁是第一个中国国家总理	周恩来	
《洛神赋图》是谁的作品	曹植	
诗仙是谁	李白	
岳不群的女儿叫什么名字	岳灵珊	
我国明代“七下西洋”的航海家是谁	郑和	
曹雪芹的《红楼梦》中，葬花的人是谁	林黛玉	
金庸小说《倚天屠龙记》中，金毛狮王叫什么名字	谢逊	
第一位扮演邦女郎的亚洲女星是谁	杨紫琼	
创办“精武门”的中国清末爱国武术家是谁	霍元甲	
由百位明星共同演唱的奥运歌曲《北京欢迎你》的曲作者是谁	小柯	
以“莫须有”罪名毒害了名将岳飞的奸臣是谁	秦桧	
被誉为香港第一代“玉女掌门人”，与倪震结婚的女明星是谁	周慧敏	
97年《还珠格格》中，因饰演小燕子一角而红遍亚洲的女演员是谁	赵薇	
《西雅图不眠夜》的女主角是谁	安妮	
清朝道光年间，在虎门销禁鸦片的民族英雄是谁	林则徐	
一代武术宗师、功夫影帝、截拳道武道哲学创立人、好莱坞首位华人演员是谁	李小龙	
电影《白毛女》中，抢走喜儿的地主叫什么名字	黄世仁	
《封神演义》中，哪吒的父亲托塔李天王名叫什么	李靖	
中央电视台著名节目《实话实说》的第一任主持人是谁	崔永元	
《中英关于香港问题的联合声明》在北京正式签字在哪一年	1984年	
澳门回归祖国在哪一年	1999年	
朝鲜内阁首相金日成元帅率领朝鲜政府代表团访问中国在哪一年	1953年	
邓小平在北京会见正在中国访问的阿根廷总统阿方辛在哪一年	1988年	
第八届中央委员会举行第一次全体会议在哪一年	一九六一年	
第一次提出“大跃进”的口号在哪一年	1957年	
发现大庆油田在哪一年	1959年	
美国向日本广岛投下第１颗原子弹是在哪一年	1945年	
美国总统罗纳德·里根对中国进行正式访问在哪一年	1984年	
巴黎凯旋门从哪一年开始建造	1806年
